customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,SatisfactionScore,NumSupportTickets,LatePaymentsCount,AvgDownloadGB,AvgUploadGB,ContractRenews,DiscountApplied,AppLoginsPerMonth,IsMultiProduct,EstimatedIncome
CUST-00000,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,56,3,1,2,68.81,15.68,2,5,0,0,56026.1
CUST-00001,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,69,1,4,0,93.24,7.96,3,20,27,1,65394.58
CUST-00002,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,46,2,1,1,17.72,16.11,3,0,24,1,51574.88
CUST-00003,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,32,4,4,0,56.01,13.91,0,20,15,0,27754.27
CUST-00004,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,60,4,0,0,119.76,39.8,4,15,11,1,80463.27
CUST-00005,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,25,1,0,0,84.27,2.19,3,15,1,1,50228.57
CUST-00006,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,38,3,3,0,83.69,10.32,3,0,28,1,23055.94
CUST-00007,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,56,4,5,0,41.56,3.68,4,15,11,0,74838.19
CUST-00008,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,36,4,1,1,15.8,34.44,1,20,1,1,79944.01
CUST-00009,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,40,5,0,1,114.19,17.28,4,5,21,1,23948.44
CUST-00010,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,28,2,2,0,17.13,32.05,2,20,10,1,53749.19
CUST-00011,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,28,3,2,0,119.16,27.99,2,20,2,0,55908.9
CUST-00012,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,41,2,1,1,19.46,37.19,0,20,4,1,34933.36
CUST-00013,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,53,3,2,0,24.65,1.93,1,5,14,1,82929.59
CUST-00014,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,57,4,1,3,40.46,9.09,3,15,4,1,60113.99
CUST-00015,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,41,5,1,1,63.92,28.38,0,20,26,1,63647.75
CUST-00016,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,20,2,0,1,95.9,23.82,0,5,18,0,45427.88
CUST-00017,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,39,4,0,0,116.67,28.09,3,15,11,1,35867.68
CUST-00018,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,19,3,2,1,46.26,23.44,3,5,7,1,83184.65
CUST-00019,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,41,2,4,0,7.35,23.66,4,5,28,1,60298.3
CUST-00020,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,61,2,1,1,75.92,37.37,2,20,2,0,35475.38
CUST-00021,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,47,4,2,0,86.74,36.93,3,0,21,0,51218.73
CUST-00022,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,55,2,1,1,50.71,2.48,4,20,27,0,62242.45
CUST-00023,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,19,5,0,0,26.1,17.13,2,5,25,1,62188.36
CUST-00024,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,38,5,0,0,40.19,20.91,1,5,12,1,62407.32
CUST-00025,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,50,4,3,0,80.42,14.96,1,5,20,1,29374.13
CUST-00026,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,29,3,2,0,61.83,2.93,1,10,10,1,62163.37
CUST-00027,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,39,4,1,1,90.49,19.42,3,20,26,0,44388.6
CUST-00028,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,61,5,0,2,30.09,39.05,2,0,10,1,63202.41
