antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.054419608839217676,0.09874269748539496,0.011811023622047244,0.21703617269544925,2.197997201034042,1.0,0.006437484649162847,1.1510842149851215,0.5764082800970205,0.0835579514824798,0.13125383270682273,0.16832516030270855
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.034798069596139194,0.1885953771907544,0.013271526543053086,0.38138686131386856,2.0222492565558254,1.0,0.006708771482059092,1.3116511306768925,0.523725761772853,0.06316107585373223,0.2376021515081235,0.22587861584211946
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.054419608839217676,0.1508763017526035,0.016319532639065278,0.2998833138856476,1.9876104491040314,1.0,0.008108903314580822,1.2128316823300314,0.5254797050525648,0.08635752688172042,0.17548328051683953,0.2040241485253154
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.08401066802133604,0.1508763017526035,0.023685547371094743,0.2819349962207105,1.8686499665335645,1.0,0.01101032847226985,1.1825164766119007,0.5074887673600625,0.11214672279013832,0.15434582115493187,0.21946076410362125
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.03873507747015494,0.1885953771907544,0.013589027178054356,0.3508196721311475,1.8601711100071754,1.0,0.006283770632057392,1.2498909593778784,0.4810484971285975,0.0635769459298871,0.19993020791370408,0.21143677209250977
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03295656591313183,0.1885953771907544,0.011493522987045974,0.34874759152215795,1.8491841990878597,1.0,0.005278067007746918,1.2459141989289895,0.4748711113465186,0.05471584038694075,0.1973765120747334,0.20484517623245946
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.031813563627127256,0.1885953771907544,0.010033020066040132,0.31536926147704586,1.6722003803840129,1.0,0.004033129034000002,1.185171183753446,0.41519435655738035,0.04769091457893147,0.15624003206609155,0.18428395733784952
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.06997713995427991,0.1885953771907544,0.02127254254508509,0.3039927404718693,1.6118780057074065,1.0,0.008075177440677461,1.1657990799684337,0.40816809031450685,0.08964409954508963,0.1422192578612457,0.20839367663324104
frozenset({'Strawberries'}),frozenset({'Banana'}),0.0571501143002286,0.1885953771907544,0.01651003302006604,0.28888888888888886,1.531791994014216,1.0,0.0057317856571197,1.1410377508255016,0.36821327917771884,0.07202216066481994,0.1236048068729239,0.1882154882154882
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.09874269748539496,0.1508763017526035,0.022288544577089155,0.22572347266881032,1.496083016661795,1.0,0.007390611555416661,1.0966672348627091,0.3679170121782678,0.09804469273743018,0.08814636909874551,0.18672537269804151
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.09315468630937263,0.1508763017526035,0.019558039116078233,0.20995228357191548,1.3915524249539246,1.0,0.005503204554796207,1.0747752073588703,0.31028239318975265,0.08712871287128714,0.06957288077254899,0.16979095660077256
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.0579756159512319,0.1885953771907544,0.015049530099060198,0.25958378970427165,1.3764058990784074,1.0,0.0041155969408713,1.095876361871067,0.29030047825660316,0.06500274273176083,0.08748830178923694,0.1696908847511257
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.051371602743205486,0.1885953771907544,0.012890525781051562,0.25092707045735474,1.3305048840277516,1.0,0.0032020789848031302,1.083211781935115,0.26185766287005574,0.05676733780760626,0.07681949487888733,0.15963861940376153
frozenset({'Limes'}),frozenset({'Banana'}),0.05410210820421641,0.1885953771907544,0.0127000254000508,0.2347417840375587,1.2446847188631225,1.0,0.002496617896461599,1.0603017463703641,0.20782760472610096,0.05521811154058531,0.05687225035400485,0.151040925688813
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.09315468630937263,0.1885953771907544,0.02127254254508509,0.22835719154737558,1.2108313308040641,1.0,0.0037039993434825544,1.0515287823861867,0.19200754159320318,0.08166747927840079,0.04900368230459152,0.17057590217099416
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.09874269748539496,0.1885953771907544,0.022479044958089917,0.22765273311897108,1.20709604079379,1.0,0.0038566286809992995,1.0505696823217128,0.19036240113591454,0.08487173339726685,0.04813548608213777,0.17342232615544512
