user_id,orders,products,unique_products,reorder_rate,mean_cart_position,cluster
13,1,5,5,0.6,3.0,1
23,1,9,9,0.0,5.0,1
27,1,13,13,0.46153846153846156,7.0,1
36,1,3,3,0.3333333333333333,2.0,1
42,1,6,6,0.16666666666666666,3.5,1
66,1,5,5,0.2,3.0,1
75,1,11,11,0.6363636363636364,6.0,1
90,1,12,12,0.8333333333333334,6.5,1
118,1,7,7,0.5714285714285714,4.0,1
137,1,12,12,1.0,6.5,1
150,2,25,25,0.56,7.0,0
155,1,12,12,0.9166666666666666,6.5,1
173,1,1,1,0.0,1.0,1
206,1,5,5,0.6,3.0,1
208,1,5,5,0.8,3.0,1
210,1,23,23,0.5652173913043478,12.0,0
214,1,24,24,0.75,12.5,0
218,1,1,1,0.0,1.0,1
222,1,5,5,0.8,3.0,1
226,1,12,12,0.6666666666666666,6.5,1
233,1,16,16,0.875,8.5,0
236,1,19,19,0.6842105263157895,10.0,0
248,1,5,5,0.6,3.0,1
323,1,10,10,1.0,5.5,1
334,1,6,6,0.8333333333333334,3.5,1
355,1,7,7,1.0,4.0,1
370,1,11,11,0.36363636363636365,6.0,1
378,1,3,3,0.0,2.0,1
381,1,13,13,0.3076923076923077,7.0,1
382,1,4,4,1.0,2.5,1
396,1,19,19,0.2631578947368421,10.0,0
417,1,4,4,0.75,2.5,1
422,1,15,15,0.8666666666666667,8.0,1
423,1,1,1,1.0,1.0,1
440,1,3,3,0.6666666666666666,2.0,1
451,1,7,7,1.0,4.0,1
453,1,8,8,0.625,4.5,1
481,1,16,16,1.0,8.5,0
496,1,5,5,0.2,3.0,1
503,1,9,9,0.3333333333333333,5.0,1
508,1,1,1,1.0,1.0,1
521,1,7,7,0.7142857142857143,4.0,1
529,1,14,14,0.0,7.5,1
568,1,15,15,0.4666666666666667,8.0,1
583,1,27,27,0.7407407407407407,14.0,0
585,1,5,5,0.0,3.0,1
593,1,2,2,1.0,1.5,1
635,1,5,5,0.6,3.0,1
649,1,16,16,0.9375,8.5,0
650,1,13,13,0.8461538461538461,7.0,1
652,1,4,4,0.5,2.5,1
653,1,6,6,1.0,3.5,1
655,1,13,13,0.6923076923076923,7.0,1
667,1,1,1,1.0,1.0,1
678,1,17,17,0.8823529411764706,9.0,0
688,1,6,6,1.0,3.5,1
756,2,18,18,0.7777777777777778,5.888888888888889,0
