,missing_count,missing_rate
End_Lng,200000,1.0
End_Lat,200000,1.0
Precipitation(in),181648,0.90824
Wind_Chill(F),178610,0.89305
Wind_Speed(mph),38440,0.1922
Visibility(mi),3263,0.016315
Humidity(%),3243,0.016215
Temperature(F),2835,0.014175
Weather_Condition,2788,0.01394
Pressure(in),2203,0.011015
Wind_Direction,1556,0.00778
Weather_Timestamp,1543,0.007715
Timezone,30,0.00015
Zipcode,30,0.00015
Airport_Code,30,0.00015
Nautical_Twilight,14,7e-05
Civil_Twilight,14,7e-05
City,14,7e-05
Astronomical_Twilight,14,7e-05
Sunrise_Sunset,14,7e-05
Description,0,0.0
Street,0,0.0
Source,0,0.0
ID,0,0.0
Severity,0,0.0
Distance(mi),0,0.0
Start_Lng,0,0.0
Start_Time,0,0.0
End_Time,0,0.0
Start_Lat,0,0.0
County,0,0.0
Amenity,0,0.0
Country,0,0.0
State,0,0.0
Bump,0,0.0
Crossing,0,0.0
Give_Way,0,0.0
Junction,0,0.0
Station,0,0.0
Roundabout,0,0.0
Railway,0,0.0
No_Exit,0,0.0
Turning_Loop,0,0.0
Traffic_Signal,0,0.0
Traffic_Calming,0,0.0
Stop,0,0.0
