sample_index,kmeans_cluster,dbscan_cluster
104129,2,-1
37091,1,-1
88350,2,-1
12106,2,-1
88692,2,-1
21748,2,-1
97366,2,-1
9059,2,-1
18813,2,-1
63351,2,-1
32435,2,-1
19160,0,-1
11098,2,-1
92164,2,-1
27984,2,-1
116752,2,-1
11796,2,-1
76244,0,-1
39608,1,-1
84174,2,-1
115831,2,-1
29276,1,-1
106077,2,-1
54483,1,-1
66072,2,-1
20900,0,-1
50692,2,-1
33031,1,-1
22675,1,-1
10890,1,-1
73959,2,0
100387,2,-1
29071,2,-1
39262,1,-1
1592,1,-1
113686,2,-1
11687,1,-1
11081,1,-1
90080,2,-1
74748,2,-1
53237,2,-1
117762,2,-1
29130,1,-1
36879,2,-1
12619,1,-1
18527,2,-1
50884,2,-1
92727,2,-1
118415,2,-1
18629,2,-1
65354,2,-1
77676,2,-1
45157,2,-1
44883,2,-1
95185,2,-1
93132,2,-1
101247,2,-1
87653,2,-1
37392,1,-1
101745,2,-1
30833,2,-1
71586,2,-1
105265,2,-1
17694,0,-1
27958,1,-1
105499,2,-1
60377,2,-1
3686,2,-1
61612,2,-1
95762,2,-1
38447,1,-1
87871,2,-1
43840,2,-1
113690,2,-1
32819,2,-1
9700,2,-1
38716,1,-1
21507,2,-1
13814,2,-1
24617,1,-1
57018,2,-1
98742,2,-1
41087,2,-1
46251,2,-1
4081,2,-1
27317,1,-1
18900,1,-1
55821,2,4
61732,2,-1
9889,2,-1
50152,2,-1
67211,2,-1
31940,2,-1
17642,1,-1
83192,2,-1
52461,2,-1
72513,2,-1
66878,2,-1
96993,2,-1
10762,1,-1
68188,2,-1
14361,2,-1
114592,2,-1
33297,1,-1
45030,2,-1
101073,2,-1
13711,2,-1
87867,2,-1
14185,0,-1
75912,2,-1
75222,2,-1
78570,2,-1
48796,2,-1
79050,2,-1
58428,2,-1
78914,2,-1
109352,1,-1
20940,2,-1
51465,2,-1
67704,2,-1
4232,1,-1
37870,1,-1
99696,1,-1
58857,2,-1
104976,2,-1
114173,2,-1
18432,2,-1
16578,1,-1
61346,2,-1
44074,2,-1
92437,2,-1
88558,2,-1
43150,2,-1
53856,2,-1
11147,2,-1
32444,2,-1
16513,1,-1
110511,2,-1
2572,1,-1
84653,0,-1
108488,1,-1
20166,2,-1
95113,2,-1
102082,2,-1
43191,1,-1
117943,2,-1
73815,2,0
102165,2,-1
74563,2,-1
95553,2,-1
108988,2,-1
30658,2,-1
47044,2,-1
35736,1,-1
77553,2,-1
52020,2,-1
38391,1,-1
88624,2,-1
80086,2,-1
4218,1,-1
3802,2,-1
22372,1,-1
26251,1,-1
39227,1,-1
18901,2,-1
4971,2,-1
76320,2,-1
8379,2,-1
81125,2,-1
27651,1,-1
2623,2,-1
33629,2,-1
88123,1,-1
68442,2,-1
94989,2,-1
12642,2,-1
105172,2,-1
68301,2,-1
86715,2,-1
43198,2,-1
17002,0,-1
62122,2,-1
65928,1,-1
58872,2,-1
32182,2,-1
17947,2,-1
46802,2,-1
33482,1,-1
110797,2,-1
74148,2,0
88851,2,-1
64738,2,-1
21254,2,-1
94737,2,-1
399,1,-1
80101,2,-1
99689,2,-1
101929,2,-1
23962,2,-1
24998,2,-1
106689,2,-1
61741,2,-1
17867,2,-1
102818,2,-1
69950,1,-1
72120,2,-1
57622,2,-1
18078,2,-1
68952,2,1
85418,1,-1
8277,2,-1
66261,1,-1
35823,2,-1
57489,2,-1
12078,2,-1
18881,2,-1
115012,2,-1
76155,2,-1
29694,1,-1
40713,2,-1
31982,0,-1
11464,2,-1
108950,2,-1
107781,1,-1
41758,1,-1
42508,2,3
69140,2,-1
34923,2,-1
79814,2,-1
56297,2,-1
7562,2,-1
15976,1,-1
96408,2,-1
27899,1,-1
105923,2,-1
99402,2,-1
58888,2,-1
5884,1,-1
76921,0,-1
88914,2,-1
19402,2,-1
44726,2,-1
2619,2,-1
47763,2,-1
20915,2,-1
113230,2,2
22819,2,-1
98076,2,-1
43090,2,-1
8535,2,-1
43865,2,-1
57709,2,-1
101978,2,-1
40825,2,3
74572,2,-1
22095,1,-1
110717,2,-1
108131,2,-1
93883,2,-1
63732,2,-1
14038,2,-1
69743,2,-1
15370,1,-1
55836,2,-1
50944,2,4
105964,2,-1
4250,2,-1
5210,2,-1
59359,2,-1
48288,2,-1
89098,2,-1
79704,2,-1
28079,1,-1
103810,2,-1
39955,2,-1
15450,1,-1
