user_id,kmeans_cluster,dbscan_cluster
134964,1,0
156807,0,1
174440,1,0
183670,1,0
66171,1,0
148510,0,0
17238,1,0
167209,1,0
194173,1,0
172891,1,0
96214,0,0
202166,1,0
202349,1,0
3456,1,0
57628,1,0
73826,1,0
39922,0,0
74714,1,0
93976,1,0
18018,1,0
109550,1,0
161096,0,0
167284,1,0
59367,0,0
80537,1,0
149095,1,0
29699,1,0
12208,1,0
194162,1,0
14700,1,0
136928,1,0
195877,0,0
99272,1,0
191535,1,0
21425,1,0
23933,1,0
33829,1,0
54141,0,0
70028,0,0
162218,1,0
37928,1,0
185420,1,0
98388,1,0
24305,1,0
132099,1,0
142458,1,0
190670,1,0
34239,1,0
142234,1,0
54374,0,0
41019,1,0
2342,0,0
171626,0,0
31773,0,0
67795,1,0
25416,1,0
122538,1,0
199224,1,0
96748,1,0
26226,1,0
70165,1,0
10951,0,0
34571,1,0
55983,1,0
64852,1,1
159057,1,0
71134,0,1
186044,1,0
27594,0,0
151837,1,0
137087,0,0
80875,1,0
120742,1,0
128608,1,0
184203,1,0
144086,1,0
108273,0,1
200701,1,0
64602,0,0
162393,1,0
157506,1,0
77503,1,0
39630,0,1
65730,0,0
135145,0,0
6216,1,0
186764,1,0
194025,1,0
93727,0,0
160132,1,0
99341,1,0
35662,1,0
119480,1,0
116926,1,0
158003,1,0
29916,1,0
11060,1,0
166695,0,0
42416,1,0
186480,1,0
148054,1,0
126250,1,0
59180,0,1
91668,0,1
167391,1,0
142625,0,0
40913,1,0
118297,1,0
46402,1,0
130245,1,0
144972,1,0
31259,1,0
167030,1,0
168721,1,0
34104,0,0
96058,0,0
143768,1,1
55035,0,0
98365,1,0
91908,1,0
105703,1,0
135548,0,0
101292,0,1
199705,1,0
108681,1,0
116255,1,0
143831,0,0
53579,1,0
114695,1,0
70778,1,0
67301,1,0
187689,1,0
158441,0,0
48801,1,0
158943,0,0
110844,0,0
155875,0,0
174923,1,0
186227,0,0
175139,1,0
139315,1,0
193104,0,1
61756,0,0
15060,1,0
111879,1,0
43872,0,0
44451,1,0
52751,1,0
83430,1,0
85954,0,0
113791,1,0
182455,0,0
159329,0,1
27730,0,0
46510,0,0
172793,1,0
202035,1,0
16196,1,0
151993,1,0
130599,1,0
63288,1,0
170884,0,0
174044,1,0
77662,0,0
125512,1,0
52048,1,0
64865,0,0
200021,1,1
131119,1,0
120541,0,1
13607,0,0
28439,1,0
5360,0,-1
48580,1,0
93908,1,0
195673,0,0
37467,1,0
51603,1,0
76863,1,0
49468,1,0
81506,0,1
169600,1,0
183971,1,0
170494,0,0
202434,1,0
195878,1,0
151277,0,0
171771,0,1
105881,1,0
121350,0,0
104366,1,0
5085,1,0
173605,0,0
20726,1,0
39831,1,0
185023,1,0
86228,0,0
60361,1,0
65561,1,0
85974,1,0
143314,1,0
129127,0,0
176040,0,0
132613,1,0
147541,1,0
3667,1,0
183334,0,0
18094,1,0
153471,1,1
94546,0,0
87878,1,0
40590,0,1
76698,1,0
155811,1,0
97537,1,0
159379,1,0
56223,1,0
37794,0,0
193112,0,0
176211,0,0
3770,1,0
93826,1,0
136146,1,0
29436,1,0
76673,1,0
60707,1,0
202313,0,0
105479,1,1
194466,1,0
157430,1,0
163101,1,0
171579,1,0
163085,0,1
185230,1,0
192932,1,0
186021,1,0
76989,0,1
183550,1,0
99767,0,0
42438,1,0
1246,1,0
87601,1,0
183838,1,0
26183,1,0
135521,1,0
11635,1,0
1241,1,0
144397,1,0
43694,0,0
110141,1,0
12191,1,0
27670,1,0
114787,1,0
165380,1,0
166348,1,0
116235,1,0
27791,1,0
28238,1,1
65597,0,0
144275,1,0
101989,1,0
140753,1,0
79570,1,1
30564,0,1
112446,1,0
77578,1,0
28543,1,0
29479,0,1
180849,1,0
96531,1,0
74582,1,0
160479,1,0
22459,1,0
23001,1,0
95349,1,0
69671,1,0
157861,1,0
140262,1,0
37460,1,0
166021,1,0
17806,0,0
90405,1,0
71936,1,0
74193,1,0
90815,0,1
31001,1,0
144119,0,0
168488,1,0
33386,1,0
158581,1,0
29552,1,0
88135,0,0
81346,0,0
92344,1,0
162439,1,0
26029,1,0
1503,1,0
163618,1,0
190463,0,1
69800,1,0
12239,1,0
118936,1,0
107645,1,0
160790,1,0
17911,1,0
187825,1,0
52649,0,0
41211,1,0
149284,0,0
188781,1,0
179640,0,1
51955,1,0
104189,1,0
22983,1,0
138248,0,1
49896,0,0
47484,1,0
161628,1,0
39509,1,0
18795,1,0
178971,1,0
73747,1,0
115153,1,0
170674,1,0
178630,1,0
180985,1,0
48206,0,0
800,1,0
123166,1,0
22517,1,0
173158,1,0
7991,1,0
134011,1,0
22869,1,0
30904,0,0
195172,1,0
56022,0,0
25715,1,1
139768,1,0
101302,0,0
27268,1,0
48767,0,1
148306,1,0
16137,1,0
7020,1,0
51003,1,0
30520,1,0
47522,1,0
105299,1,1
90787,1,0
110802,1,0
142872,1,0
31308,0,0
189187,1,0
82197,0,0
100685,1,0
107593,1,0
152931,0,1
79780,1,1
131916,1,0
173867,0,0
125715,1,0
43562,1,0
49116,1,0
11562,1,0
48094,1,0
56613,0,0
57278,1,0
35340,1,0
144019,1,0
104844,0,0
138345,1,0
191912,1,1
34873,1,0
145451,1,0
193074,1,0
131110,1,0
162312,0,0
145695,0,0
82857,1,0
101427,1,0
65946,0,0
31034,1,0
89636,1,0
111853,0,0
73968,0,0
96615,0,1
147309,1,0
2947,1,0
11485,1,0
7792,0,-1
65247,0,0
35250,0,0
143385,1,0
172702,1,0
19849,1,0
167308,0,0
175087,0,0
61399,1,0
160099,1,0
182851,1,0
170716,1,0
63718,0,-1
178899,1,0
68264,1,0
163110,1,0
58306,0,0
144456,1,0
45827,1,0
123799,0,0
18692,1,0
144697,1,0
157805,1,0
16315,1,0
3807,1,0
186859,1,0
2868,0,0
178298,1,0
133925,1,0
168005,1,0
119640,1,0
110120,1,0
101904,1,0
164908,0,0
139673,1,0
139853,1,0
1579,1,0
8656,1,0
204023,1,0
9321,0,-1
198180,0,0
76011,1,0
4189,1,0
180039,1,0
93453,0,0
25396,0,0
30752,0,0
98075,1,0
67308,0,0
14332,1,0
59478,1,0
150283,1,0
112847,1,0
65807,0,-1
136969,1,0
92060,1,0
88434,1,0
76198,1,0
7746,0,0
1122,0,0
200112,0,1
169032,0,0
115862,0,1
172621,1,1
137992,0,0
36585,0,0
168830,1,0
69199,0,0
69984,1,0
111921,1,0
166260,1,0
92994,1,0
32043,1,0
24106,1,0
100863,0,1
74974,0,0
47669,1,0
65939,1,0
142932,0,0
199989,1,0
203614,1,0
189089,0,1
151359,1,0
204086,1,1
107744,1,0
141585,1,0
46269,1,0
21089,0,0
10790,1,0
170822,1,0
195392,1,0
12951,1,0
122814,1,0
14821,0,0
66176,1,0
177830,0,0
69474,0,1
163969,0,0
53587,1,0
114984,1,0
34215,1,0
117368,1,0
76939,1,0
179133,0,0
66984,0,0
102346,1,0
124642,1,0
153910,1,0
61834,1,0
127577,1,0
197381,1,0
83890,1,0
106713,1,0
188413,0,1
75231,1,0
85887,1,0
108351,1,0
96854,1,0
193111,1,0
109700,0,0
161663,1,0
178144,1,0
30448,0,0
100116,1,0
157932,1,0
155216,1,0
50790,1,0
134204,1,0
63420,1,0
68510,0,0
201359,1,0
109906,0,0
199519,1,0
75787,1,0
85561,1,0
197162,1,0
41023,1,0
155154,1,0
187817,0,0
94111,0,0
140941,0,0
107607,1,0
142701,1,0
169084,1,0
149393,1,0
41380,1,0
96916,1,0
193879,0,0
82915,1,0
79638,1,0
105354,1,0
8037,1,0
117170,1,1
46749,0,0
161290,0,1
174649,1,0
2013,1,0
25721,1,0
45802,1,0
199280,1,0
186605,1,0
92896,0,0
27292,1,0
177940,1,0
175724,0,1
113032,1,0
