ID,Severity,Weather_Condition,Sunrise_Sunset,start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal
A-75728,2,Clear,Day,16,11,0,44.583333333333336,0.01,62.1,10.0,0,0,0,0,0,0,0
A-80191,3,Clear,Day,12,9,2,29.7,0.0,91.9,10.0,0,0,0,0,0,0,0
A-19865,3,Clear,Night,20,9,1,30.0,0.0,66.2,10.0,0,0,0,0,0,0,0
A-76706,3,Overcast,Day,10,9,1,30.0,0.0,64.9,10.0,0,0,0,0,0,0,0
A-92998,3,Clear,Day,17,8,5,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0
A-76441,2,Mostly Cloudy,Day,10,9,0,30.0,0.0,68.0,10.0,0,0,0,0,0,0,0
A-84011,3,Clear,Day,16,10,4,44.483333333333334,0.01,70.0,10.0,0,0,0,0,0,0,0
A-80924,3,Clear,Day,14,10,5,44.68333333333333,0.0,84.0,10.0,0,0,0,0,0,0,0
A-60768,2,Overcast,Night,18,1,3,29.666666666666668,0.01,57.2,2.0,0,0,0,0,0,0,0
A-50075,3,Partly Cloudy,Day,13,7,2,30.0,0.0,100.9,10.0,0,0,0,0,0,0,0
A-27702,3,Overcast,Night,23,8,2,30.0,0.0,59.0,10.0,0,0,0,0,0,0,1
A-42142,3,Clear,Day,5,6,0,38.833333333333336,0.0,59.0,10.0,0,0,0,1,0,0,0
A-45081,3,Clear,Day,18,6,1,60.0,0.0,84.0,10.0,0,0,0,0,0,0,0
A-16639,3,Haze,Day,11,11,0,29.683333333333334,0.01,60.1,2.0,0,0,0,1,0,0,0
A-20425,2,Mostly Cloudy,Night,1,9,4,60.0,0.0,55.0,10.0,0,0,0,1,0,0,0
A-88709,2,Clear,Day,18,8,3,64.21666666666667,0.0,72.0,10.0,0,0,0,0,0,0,1
A-150,2,Light Freezing Drizzle,Night,7,2,0,30.0,0.01,24.1,0.8,0,0,0,0,0,0,0
A-1762,2,Clear,Day,11,6,3,45.0,0.0,73.4,,0,0,0,0,0,0,0
A-63121,2,Partly Cloudy,Night,17,1,0,44.68333333333333,0.01,56.0,10.0,0,0,0,0,0,0,0
A-69163,2,Clear,Night,19,11,3,44.53333333333333,0.01,71.1,10.0,0,0,0,0,0,0,0
A-64885,3,Light Rain,Day,12,1,0,34.95,0.01,46.4,8.0,0,0,0,0,0,0,0
A-2496,2,Clear,Day,11,7,4,45.0,0.0,77.0,10.0,0,0,0,0,0,0,0
A-80303,3,Clear,Night,20,9,2,30.0,0.0,75.9,10.0,0,0,0,1,0,0,0
A-19448,2,Light Rain,Day,12,11,2,29.283333333333335,0.01,53.1,3.0,0,0,0,0,0,0,0
A-41332,3,Clear,Day,12,6,0,30.0,0.01,79.0,10.0,0,0,0,0,0,0,0
