start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
16,11,0,44.583333333333336,0.01,62.1,10.0,0,0,0,0,0,0,0,2
12,9,2,29.7,0.0,91.9,10.0,0,0,0,0,0,0,0,3
20,9,1,30.0,0.0,66.2,10.0,0,0,0,0,0,0,0,3
10,9,1,30.0,0.0,64.9,10.0,0,0,0,0,0,0,0,3
17,8,5,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0,3
10,9,0,30.0,0.0,68.0,10.0,0,0,0,0,0,0,0,2
16,10,4,44.483333333333334,0.01,70.0,10.0,0,0,0,0,0,0,0,3
14,10,5,44.68333333333333,0.0,84.0,10.0,0,0,0,0,0,0,0,3
18,1,3,29.666666666666668,0.01,57.2,2.0,0,0,0,0,0,0,0,2
13,7,2,30.0,0.0,100.9,10.0,0,0,0,0,0,0,0,3
23,8,2,30.0,0.0,59.0,10.0,0,0,0,0,0,0,1,3
5,6,0,38.833333333333336,0.0,59.0,10.0,0,0,0,1,0,0,0,3
18,6,1,60.0,0.0,84.0,10.0,0,0,0,0,0,0,0,3
11,11,0,29.683333333333334,0.01,60.1,2.0,0,0,0,1,0,0,0,3
1,9,4,60.0,0.0,55.0,10.0,0,0,0,1,0,0,0,2
18,8,3,64.21666666666667,0.0,72.0,10.0,0,0,0,0,0,0,1,2
7,2,0,30.0,0.01,24.1,0.8,0,0,0,0,0,0,0,2
11,6,3,45.0,0.0,73.4,,0,0,0,0,0,0,0,2
17,1,0,44.68333333333333,0.01,56.0,10.0,0,0,0,0,0,0,0,2
19,11,3,44.53333333333333,0.01,71.1,10.0,0,0,0,0,0,0,0,2
12,1,0,34.95,0.01,46.4,8.0,0,0,0,0,0,0,0,3
11,7,4,45.0,0.0,77.0,10.0,0,0,0,0,0,0,0,2
20,9,2,30.0,0.0,75.9,10.0,0,0,0,1,0,0,0,3
12,11,2,29.283333333333335,0.01,53.1,3.0,0,0,0,0,0,0,0,2
