,missing_count,missing_rate
End_Lng,170158,0.85079
End_Lat,170158,0.85079
Precipitation(in),90316,0.45158
Wind_Chill(F),83715,0.418575
Wind_Speed(mph),20667,0.103335
Visibility(mi),4020,0.0201
Weather_Condition,3951,0.019755
Humidity(%),3795,0.018975
Temperature(F),3530,0.01765
Wind_Direction,3318,0.01659
Pressure(in),3056,0.01528
Weather_Timestamp,2439,0.012195
Airport_Code,422,0.00211
Sunrise_Sunset,223,0.001115
Astronomical_Twilight,223,0.001115
Nautical_Twilight,223,0.001115
Civil_Twilight,223,0.001115
Timezone,166,0.00083
Street,153,0.000765
Zipcode,34,0.00017
City,4,2e-05
Description,1,5e-06
ID,0,0.0
Distance(mi),0,0.0
Start_Lng,0,0.0
Source,0,0.0
Severity,0,0.0
Start_Time,0,0.0
End_Time,0,0.0
Start_Lat,0,0.0
County,0,0.0
Amenity,0,0.0
Country,0,0.0
State,0,0.0
Bump,0,0.0
Crossing,0,0.0
Give_Way,0,0.0
Junction,0,0.0
Station,0,0.0
Roundabout,0,0.0
Railway,0,0.0
No_Exit,0,0.0
Turning_Loop,0,0.0
Traffic_Signal,0,0.0
Traffic_Calming,0,0.0
Stop,0,0.0
